kol_id,kol_name,platform,followers,field,price,avg_likes,avg_comments,engagement_rate,conversion_rate,audience,cooperation_count,risk_note
KOL_291,阿梨校园成长记,小红书,68000,校园/学习,1600,2450,158,3.9,3.6,大学生、18-24岁、校园兴趣人群,18,数据真实
KOL_292,周周实习手帐,抖音,92000,校园/求职,2200,3180,204,4.0,3.8,应届生、20-24岁、实习求职人群,21,无风险
KOL_293,宿舍效率研究所,B站,74000,校园/效率,1800,2620,173,4.1,3.4,大学生、18-23岁、学习效率人群,16,数据真实
KOL_294,阿哲社团日常,微博,56000,校园/生活,1200,1790,118,3.7,3.2,大学生、18-22岁、校园生活人群,12,无风险
KOL_295,柚子奖学金笔记,小红书,81000,教育/考证,2600,3310,221,4.2,3.9,大学生、19-25岁、升学备考人群,24,数据真实
KOL_296,北北上岸碎碎念,抖音,105000,教育/考研,3200,3890,255,4.3,4.0,考研学生、20-26岁、学习提升人群,28,需谨慎
KOL_297,阿Ken职场第一年,小红书,99000,职场/成长,3000,3520,230,4.0,3.7,职场新人、22-30岁、成长提升人群,26,数据真实
KOL_298,Luna转行观察局,微博,87000,职场/转行,2700,3060,198,3.8,3.5,职场人群、24-32岁、转行探索人群,19,无风险
KOL_299,Jason汇报不犯怵,B站,113000,职场/技能,3600,4260,281,4.4,3.8,职场新人、23-33岁、沟通表达人群,33,数据真实
KOL_300,阿铭简历门诊室,抖音,128000,职场/求职,3800,4580,304,4.5,4.1,求职人群、22-30岁、白领新人,37,广告比例较高
KOL_301,Mia通勤妆笔记,小红书,86000,美妆/护肤,2800,3470,236,4.3,3.9,18-30岁女性、护肤彩妆兴趣人群,31,无风险
KOL_302,Cici敏皮自救簿,微博,69000,美妆/护肤,2100,2680,181,4.1,3.6,年轻女性、20-30岁、敏感肌护理人群,18,数据真实
KOL_303,桃桃底妆功课,B站,77000,美妆/底妆,2500,2950,205,4.0,3.7,18-28岁女性、底妆彩妆兴趣人群,22,无风险
KOL_304,Annie口红试色间,抖音,118000,美妆/彩妆,3400,4390,296,4.4,4.0,18-30岁女性、彩妆消费人群,35,数据真实
KOL_305,七七空瓶计划,小红书,102000,美妆/成分,3100,3860,254,4.2,3.8,成分党、20-32岁女性、护肤兴趣人群,29,有争议
KOL_306,老许数码观察,微博,94000,科技/数码,2900,3210,211,3.9,3.4,数码爱好者、20-35岁、男性偏多,23,数据真实
KOL_307,阿博设备研究所,B站,132000,科技/测评,4200,5120,337,4.5,3.7,数码用户、22-38岁、设备测评人群,38,无风险
KOL_308,小K平价耳机局,抖音,85000,科技/外设,2300,2870,188,4.0,3.5,学生党、20-30岁、平价数码人群,20,无风险
KOL_309,Tim效率工具箱,小红书,73000,科技/效率,1900,2490,162,3.8,3.3,白领用户、22-34岁、效率工具人群,15,数据真实
KOL_310,阿诚手机体验官,微博,121000,科技/手机,3700,4480,292,4.3,3.8,手机换机人群、20-36岁、数码消费人群,34,需谨慎
KOL_311,阿福今晚吃什么,抖音,146000,美食/探店,4600,5810,379,4.6,4.0,都市白领、20-35岁、美食消费人群,41,数据真实
KOL_312,团团甜品雷达,小红书,83000,美食/甜品,2400,3090,207,4.1,3.6,年轻女性、18-30岁、甜品兴趣人群,20,无风险
KOL_313,饭饭平价探店簿,微博,97000,美食/探店,2800,3520,231,4.0,3.5,城市青年、20-32岁、餐饮消费人群,24,数据真实
KOL_314,大福火锅预警台,B站,111000,美食/火锅,3300,4170,279,4.3,3.7,火锅爱好者、20-35岁、社交消费人群,30,广告比例较高
KOL_315,阿暖家常菜录,小红书,65000,美食/家常,1500,2140,141,3.9,3.4,家庭用户、25-40岁、家常菜兴趣人群,13,无风险
KOL_316,Lily旅行手记,小红书,108000,旅行/摄影,3200,4020,268,4.2,3.6,旅行爱好者、22-38岁、品质消费人群,27,数据真实
KOL_317,阿宁周末出逃,抖音,124000,旅行/周边游,3600,4680,315,4.4,3.8,都市白领、23-35岁、周边游人群,33,无风险
KOL_318,木木民宿清单,B站,89000,旅行/住宿,2600,3180,209,4.0,3.5,情侣出游人群、22-34岁、住宿消费人群,21,数据真实
KOL_319,阿川拍照路线图,微博,76000,旅行/摄影,2200,2710,177,3.9,3.4,年轻用户、20-32岁、拍照打卡人群,17,无风险
KOL_320,北岛海边备忘录,小红书,97000,旅行/海岛,3000,3610,241,4.1,3.7,女性用户、22-35岁、海岛度假人群,25,需谨慎
KOL_321,Kiki晨练日志,小红书,88000,健身/运动,2500,3290,217,4.2,3.8,健身人群、20-35岁、注重生活方式,24,无风险
KOL_322,阿泽减脂打卡,抖音,136000,健身/减脂,3900,4860,327,4.5,4.0,减脂用户、20-35岁、居家训练人群,36,数据真实
KOL_323,铁馆小李练腿课,B站,101000,健身/力量,3100,3770,248,4.1,3.6,男性健身人群、20-34岁、力量训练爱好者,28,数据真实
KOL_324,可乐体态矫正室,微博,72000,健身/体态,2100,2580,170,4.0,3.5,女性白领、22-34岁、体态改善人群,19,无风险
KOL_325,Momo居家塑形,小红书,93000,健身/塑形,2800,3460,229,4.1,3.7,年轻女性、20-32岁、居家塑形人群,26,有争议
KOL_326,糖糖辅食记录,小红书,79000,母婴/育儿,2300,2860,191,4.0,3.7,宝妈宝爸、25-40岁、家庭消费人群,22,无风险
KOL_327,阿宁早教陪跑,抖音,115000,母婴/早教,3400,4190,281,4.3,3.9,宝妈人群、25-38岁、早教关注人群,31,数据真实
KOL_328,果果睡眠安抚记,微博,68000,母婴/睡眠,1800,2240,149,3.8,3.4,新手妈妈、24-36岁、婴幼儿护理人群,15,无风险
KOL_329,阿蕊绘本角,B站,84000,母婴/绘本,2500,2980,198,4.0,3.5,家庭用户、25-40岁、亲子阅读人群,20,数据真实
KOL_330,Mia亲子好物局,小红书,99000,母婴/用品,3000,3620,239,4.2,3.8,宝妈宝爸、26-40岁、母婴消费人群,27,广告比例较高
KOL_331,木子收纳手帐,小红书,71000,家居/收纳,1900,2410,158,3.9,3.5,新中产家庭、25-40岁、居家改善人群,16,无风险
KOL_332,阿乔租房改造,抖音,109000,家居/租房,3200,3960,264,4.2,3.7,租房青年、22-35岁、小空间改造人群,29,数据真实
KOL_333,Lina卧室焕新录,微博,86000,家居/软装,2600,3090,205,4.0,3.6,女性用户、23-36岁、卧室布置人群,22,无风险
KOL_334,阿布桌面整理术,B站,78000,家居/桌面,2200,2730,181,3.9,3.4,办公人群、22-34岁、桌面收纳兴趣人群,18,数据真实
KOL_335,YoYo搬家不崩溃,小红书,95000,家居/搬家,2900,3510,236,4.1,3.7,城市青年、24-36岁、搬家整理人群,25,需谨慎
KOL_336,阿哲考证冲刺,抖音,112000,教育/考证,3300,4080,271,4.3,3.9,备考学生、18-30岁、学习提升人群,30,数据真实
KOL_337,Mia英语提分记,小红书,98000,教育/英语,3000,3660,243,4.1,3.8,学生人群、18-28岁、英语提分用户,26,无风险
KOL_338,南风公考笔记,微博,89000,教育/公考,2700,3180,211,4.0,3.6,考公人群、20-32岁、备考学习人群,21,数据真实
KOL_339,阿达教资备考,B站,76000,教育/教资,2100,2570,169,3.8,3.4,大学生、19-27岁、教师资格备考人群,17,无风险
KOL_340,Echo自律学习局,抖音,126000,教育/学习法,3600,4520,299,4.4,4.0,备考学生、18-30岁、自律学习人群,35,数据真实
KOL_341,阿禾校招快讯,小红书,88000,校园/求职,2500,3290,216,4.1,3.7,应届生、20-25岁、校招求职人群,23,数据真实
KOL_342,小满图书馆日常,微博,62000,校园/学习,1400,2080,136,3.8,3.3,大学生、18-23岁、校园学习人群,14,无风险
KOL_343,宿舍长也想上岸,B站,79000,校园/考研,2300,2950,194,4.0,3.6,大学生、19-25岁、备考上岸人群,19,数据真实
KOL_344,阿哲面试不慌,抖音,108000,职场/面试,3200,3990,264,4.2,3.9,求职人群、22-30岁、面试提升人群,29,无风险
KOL_345,北北办公桌生存术,小红书,73000,职场/效率,2000,2480,162,3.9,3.5,白领新人、22-31岁、办公室效率人群,17,数据真实
KOL_346,Suki通勤观察,微博,97000,职场/白领,2800,3410,223,4.0,3.6,白领女性、23-32岁、通勤生活人群,23,无风险
KOL_347,JoJo好物速报,抖音,114000,美妆/彩妆,3300,4210,282,4.3,3.9,18-30岁女性、彩妆种草人群,32,数据真实
KOL_348,团子底妆实验室,B站,83000,美妆/底妆,2400,3010,198,4.0,3.6,年轻女性、19-29岁、底妆兴趣人群,20,无风险
KOL_349,Nana晚间护肤,小红书,91000,美妆/护肤,2700,3390,224,4.1,3.7,护肤用户、20-31岁、晚间护肤习惯人群,24,数据真实
KOL_350,极客阿辰拆机局,抖音,127000,科技/数码,3800,4730,314,4.4,3.8,数码爱好者、21-36岁、拆机测评人群,36,无风险
KOL_351,老何效率工具箱,小红书,76000,科技/效率,2100,2560,168,3.9,3.4,职场用户、22-35岁、效率工具人群,18,数据真实
KOL_352,程序员阿浪,微博,98000,科技/软件,2900,3490,229,4.0,3.6,程序员、20-35岁、软件工具人群,24,需谨慎
KOL_353,大熊外设实验室,B站,119000,科技/外设,3500,4360,287,4.3,3.7,游戏用户、20-34岁、外设消费人群,31,数据真实
KOL_354,肉肉夜宵雷达,抖音,138000,美食/夜宵,4000,5190,345,4.5,3.9,年轻人群、20-33岁、夜宵消费人群,38,无风险
KOL_355,芝士甜品簿,小红书,82000,美食/甜品,2300,2970,196,4.0,3.6,年轻女性、18-30岁、甜品种草人群,20,数据真实
KOL_356,阿豪烧烤地图,微博,91000,美食/烧烤,2600,3280,214,3.9,3.5,城市青年、20-34岁、聚餐消费人群,22,无风险
KOL_357,柠檬咖啡地图,B站,74000,美食/咖啡,2000,2510,165,3.8,3.4,白领女性、22-35岁、咖啡消费人群,16,数据真实
KOL_358,远方小顾漫游记,小红书,101000,旅行/摄影,3000,3740,249,4.1,3.7,旅行爱好者、22-36岁、品质出游人群,26,无风险
KOL_359,小悠快闪旅行,抖音,118000,旅行/城市漫游,3400,4320,288,4.3,3.8,年轻白领、22-34岁、快闪旅游人群,31,数据真实
KOL_360,阿岳拍照清单,微博,78000,旅行/摄影,2200,2710,176,3.9,3.4,打卡用户、20-32岁、拍照路线人群,17,无风险
KOL_361,教练阿豪基础课,抖音,122000,健身/运动,3500,4450,296,4.4,3.9,健身新手、20-35岁、运动入门人群,34,数据真实
KOL_362,Nana力量成长记,小红书,84000,健身/力量,2400,3050,201,4.0,3.6,女性健身人群、20-32岁、力量训练兴趣人群,21,无风险
KOL_363,阿彬拉伸恢复,微博,70000,健身/恢复,1800,2320,151,3.8,3.4,办公人群、22-34岁、拉伸恢复人群,15,数据真实
KOL_364,Ryan周末篮球局,B站,93000,健身/篮球,2700,3380,222,4.1,3.6,男性用户、18-30岁、篮球兴趣人群,24,无风险
KOL_365,团子宝妈手帐,小红书,88000,母婴/育儿,2500,3190,212,4.0,3.7,宝妈人群、25-38岁、育儿经验人群,23,数据真实
KOL_366,奶酪遛娃地图,抖音,107000,母婴/亲子,3200,3910,261,4.2,3.8,家庭用户、25-40岁、亲子出行人群,28,无风险
KOL_367,阿贝科学育儿,微博,81000,母婴/育儿,2300,2870,190,4.0,3.5,新手父母、25-38岁、科学育儿人群,20,数据真实
KOL_368,Vivi省心带娃,B站,95000,母婴/生活,2800,3460,228,4.1,3.6,宝妈人群、26-39岁、带娃生活人群,25,无风险
KOL_369,小禾平价家装,小红书,89000,家居/装修,2600,3250,214,4.0,3.7,新中产家庭、25-40岁、家装改善人群,24,数据真实
KOL_370,可乐厨房整理,抖音,97000,家居/收纳,2900,3580,238,4.1,3.7,家庭用户、25-40岁、厨房整理人群,26,无风险
KOL_371,阿南住进小房子,微博,76000,家居/租房,2100,2480,163,3.9,3.4,租房青年、22-34岁、小家布置人群,17,数据真实
KOL_372,Momo家居灵感册,B站,103000,家居/软装,3100,3910,258,4.2,3.7,女性用户、24-36岁、居家美学人群,29,无风险
KOL_373,July专升本记录,抖音,109000,教育/专升本,3200,4020,267,4.2,3.8,学生人群、18-24岁、专升本备考人群,29,数据真实
KOL_374,Ken题海复盘,小红书,87000,教育/考证,2500,3120,206,4.0,3.6,备考用户、19-29岁、题海训练人群,22,无风险
KOL_375,桃子四六级上岸,微博,91000,教育/英语,2700,3360,221,4.0,3.7,大学生、18-25岁、英语备考人群,24,数据真实
KOL_376,老张真题课,B站,98000,教育/面试,2900,3580,236,4.1,3.6,求职人群、21-30岁、面试真题训练人群,26,无风险
KOL_377,阿梨校园生活课,小红书,72000,校园/生活,1800,2470,162,4.0,3.5,大学生、18-23岁、校园生活人群,18,数据真实
KOL_378,阿泽打工人效率局,抖音,116000,职场/效率,3400,4250,284,4.3,3.9,白领新人、22-32岁、效率提升人群,32,无风险
KOL_379,OldZhangMockClass,B站,104000,教育/面试,3000,3810,251,4.2,3.8,求职人群、21-30岁、结构化面试人群,28,数据真实
KOL_380,NorthIslandViews,微博,93000,旅行/摄影,2800,3470,228,4.1,3.6,旅行爱好者、22-35岁、摄影打卡人群,23,无风险
